,OBJECTID,PROVINCIA,DISTRITO,CORREGIMIENTO,CANTIDAD,HOSPITALIZADO,AISLAMIENTO_DOMICILIARIO,FALLECIDO,UCI,RECUPERADO,LONG,LAT,GlobalID
146,147,COCLÉ,ANTÓN,EL VALLE,34.0,0.0,19.0,2.0,0.0,13.0,595851.569579557,952642.070644019,31561615-65ae-4949-8e26-fad5c93cb71c
147,148,COCLÉ,ANTÓN,JUAN DIAZ,2.0,0.0,2.0,0.0,0.0,0.0,575581.493718173,928953.012891255,d00e7d80-4607-49aa-948b-e3ea1d841b95
148,149,COCLÉ,ANTÓN,RIO HATO,49.0,1.0,9.0,2.0,0.0,37.0,597175.099845631,931216.715334451,b975c5e1-f7a9-48df-b731-08cf92ebb442
149,150,COCLÉ,ANTÓN,SAN JUAN DE DIOS,6.0,1.0,0.0,0.0,0.0,5.0,584183.547921059,944516.640152568,7f9e4dac-97ca-478d-839f-e9cc8fa34b5e
150,151,COCLÉ,ANTÓN,SANTA RITA,1.0,0.0,1.0,0.0,0.0,0.0,588793.840595604,939016.252470505,f98590df-532a-4e1b-ae15-919d7183bddc
151,152,COCLÉ,LA PINTADA,EL HARINO,13.0,0.0,10.0,0.0,1.0,2.0,541687.57969936,960702.875059755,ab82b813-bf34-4132-b845-c0650ba68f6b
152,153,COCLÉ,LA PINTADA,EL POTRERO,6.0,0.0,5.0,0.0,0.0,1.0,553402.909933791,944581.39321204,ede96466-564a-44f5-914b-d4b8a4a140b9
153,154,COCLÉ,LA PINTADA,LA PINTADA (CABECERA),29.0,0.0,6.0,0.0,0.0,23.0,559909.508702033,948471.283990553,d2c826c9-583f-4b65-8fca-9217b49d8b80
154,155,COCLÉ,LA PINTADA,LAS LOMAS,13.0,0.0,11.0,0.0,0.0,2.0,538364.794528298,952176.247610674,584da52e-7d58-4060-93a1-0dcbfbc21e8f
155,156,COCLÉ,LA PINTADA,LLANO GRANDE,5.0,0.0,1.0,1.0,0.0,3.0,561643.220534692,957786.723649504,b77a5415-5f98-447e-8336-7d06908f91dd
156,157,COCLÉ,LA PINTADA,LLANO NORTE,1.0,0.0,0.0,0.0,0.0,1.0,556785.583846743,974719.928180942,1a52e9cd-34d1-461d-8024-78e30898dff1
157,158,COCLÉ,LA PINTADA,PIEDRAS GORDAS,5.0,1.0,3.0,0.0,0.0,1.0,551406.985682853,960723.142370309,f3dad4d1-559e-4134-8e52-f5e6a836e682
158,159,COCLÉ,NATÁ,CAPELLANIA,9.0,0.0,7.0,0.0,0.0,2.0,549494.027991447,917075.070171617,20443533-1591-4c6e-93fd-141478001ecf
159,160,COCLÉ,NATÁ,EL CAÑO,22.0,0.0,18.0,1.0,0.0,3.0,550552.882806151,933013.731207643,9104b65d-959c-4b00-857f-9ffe6d598f5f
160,161,COCLÉ,NATÁ,GUZMAN,,,,,,,545383.434518209,944236.220655335,a23a9f59-b612-4a78-abe4-b003e730bfc4
161,162,COCLÉ,NATÁ,LAS HUACAS,,,,,,,526085.801367098,938677.264773634,186ed072-9a45-4fe0-8537-8b8259043848
162,163,COCLÉ,NATÁ,NATA (CABECERA),42.0,1.0,22.0,2.0,0.0,17.0,557288.085745271,919184.537782958,db2ff8df-1f40-4d81-9223-c8580da94aac
163,164,COCLÉ,NATÁ,TOZA,1.0,0.0,0.0,0.0,0.0,1.0,540611.146171622,924684.918376556,c63d9d1b-b3e1-45ea-9b2f-763a31b75985
164,165,COCLÉ,NATÁ,VILLARREAL,7.0,0.0,1.0,0.0,0.0,6.0,540120.530144465,920110.893538529,6b860bf9-ab37-4dd7-83b9-a6fbd83c8d6f
