r0;Comuna;Fecha;DIA;Nuevos Confirmados;Nuevos Fallecidos;Nuevos Recuperados;Población
2,5;Barú;43995;9;1;0;1;56924
2,5;Barú;43996;10;0;0;0;56924
2,4;Barú;43997;11;1;0;0;56924
2,2;Barú;43998;12;2;0;0;56924
2,2;Barú;43999;13;0;0;0;56924
1,9;Barú;44000;14;4;0;0;56924
1,8;Barú;44001;15;2;0;0;56924
1,6;Barú;44002;16;3;0;0;56924
NA;Besiko;43988;2;0;0;0;30971
0;Besiko;43989;3;0;0;0;30971
0;Besiko;43990;4;0;0;0;30971
1,5;Besiko;43991;5;1;0;2;30971
1,5;Besiko;43992;6;0;0;0;30971
1,5;Besiko;43993;7;0;0;0;30971
1,5;Besiko;43994;8;0;0;0;30971
1,5;Besiko;43995;9;0;0;0;30971
1,5;Besiko;43996;10;0;0;0;30971
1,5;Besiko;43997;11;0;0;0;30971
1,5;Besiko;43998;12;0;0;0;30971
1,5;Besiko;43999;13;0;0;0;30971
7,6;Besiko;44000;14;36;1;5;30971
7,5;Besiko;44001;15;0;0;1;30971
7,5;Besiko;44002;16;0;0;0;30971
NA;Bocas del Toro;43988;2;0;0;0;21341
0;Bocas del Toro;43989;3;0;0;0;21341
0;Bocas del Toro;43990;4;0;0;0;21341
1,3;Bocas del Toro;43991;5;1;0;4;21341
1,3;Bocas del Toro;43992;6;0;0;0;21341
1;Bocas del Toro;43993;7;5;1;0;21341
1;Bocas del Toro;43994;8;0;0;0;21341
0,4;Bocas del Toro;43995;9;17;1;0;21341
0,3;Bocas del Toro;43996;10;6;0;0;21341
0,3;Bocas del Toro;43997;11;4;0;0;21341
-0,2;Bocas del Toro;43998;12;25;0;0;21341
-0,1;Bocas del Toro;43999;13;0;0;0;21341
0;Bocas del Toro;44000;14;2;0;0;21341
0;Bocas del Toro;44001;15;6;0;0;21341
0,1;Bocas del Toro;44002;16;0;0;0;21341
NA;Boquerón;43988;2;0;0;0;15811
0;Boquerón;43989;3;0;0;0;15811
0;Boquerón;43990;4;0;0;0;15811
7;Boquerón;43991;5;12;0;2;15811
7;Boquerón;43992;6;0;0;0;15811
6,6;Boquerón;43993;7;4;0;0;15811
6,7;Boquerón;43994;8;0;0;0;15811
6,7;Boquerón;43995;9;0;0;0;15811
1,8;Boquerón;43996;10;2;0;5;15811
1,7;Boquerón;43997;11;6;0;0;15811
1,9;Boquerón;43998;12;6;0;3;15811
1,9;Boquerón;43999;13;0;0;0;15811
1,6;Boquerón;44000;14;13;0;0;15811
1,7;Boquerón;44001;15;5;0;2;15811
1,7;Boquerón;44002;16;1;0;0;15811
NA;Boquete;43988;2;0;0;0;22732
0;Boquete;43989;3;0;0;0;22732
0;Boquete;43990;4;0;0;0;22732
9;Boquete;43991;5;23;1;3;22732
9;Boquete;43992;6;0;0;0;22732
8,3;Boquete;43993;7;11;0;2;22732
8,3;Boquete;43994;8;0;0;0;22732
1,3;Boquete;43995;9;9;0;23;22732
1,3;Boquete;43996;10;8;0;0;22732
1,3;Boquete;43997;11;7;0;0;22732
1,3;Boquete;43998;12;4;0;0;22732
1,3;Boquete;43999;13;0;0;0;22732
1,3;Boquete;44000;14;9;0;0;22732
1,3;Boquete;44001;15;11;0;12;22732
1,4;Boquete;44002;16;3;0;0;22732
NA;Bugaba;43988;2;0;0;0;60200
0;Bugaba;43989;3;0;0;0;60200
0;Bugaba;43990;4;0;0;0;60200
2,2;Bugaba;43991;5;73;2;64;60200
2,2;Bugaba;43992;6;0;0;0;60200
2,2;Bugaba;43993;7;46;1;31;60200
2,2;Bugaba;43994;8;0;0;0;60200
1,5;Bugaba;43995;9;40;4;115;60200
1,5;Bugaba;43996;10;24;0;3;60200
1,5;Bugaba;43997;11;16;0;'-3;60200
1,5;Bugaba;43998;12;25;0;3;60200
1,5;Bugaba;43999;13;0;0;0;60200
1,5;Bugaba;44000;14;45;3;1;60200
1,5;Bugaba;44001;15;37;0;27;60200
1,5;Bugaba;44002;16;24;0;'-1;60200
NA;Calobre;43988;2;0;0;0;11571
-1;Calobre;43989;3;2;0;0;11571
-0,7;Calobre;43990;4;0;0;0;11571
2,7;Calobre;43991;5;31;0;18;11571
2,7;Calobre;43992;6;0;0;0;11571
2,9;Calobre;43993;7;35;0;16;11571
2,9;Calobre;43994;8;0;0;0;11571
1,6;Calobre;43995;9;23;0;50;11571
1,6;Calobre;43996;10;12;1;0;11571
1,6;Calobre;43997;11;9;0;0;11571
1,5;Calobre;43998;12;21;0;1;11571
1,5;Calobre;43999;13;0;0;0;11571
1,4;Calobre;44000;14;49;0;0;11571
1,4;Calobre;44001;15;35;0;5;11571
1,4;Calobre;44002;16;28;0;0;11571
NA;Cañazas;43988;2;0;0;0;17138
0;Cañazas;43989;3;0;0;0;17138
0;Cañazas;43990;4;0;0;0;17138
14;Cañazas;43991;5;65;0;5;17138
14;Cañazas;43992;6;0;0;0;17138
14;Cañazas;43993;7;21;0;1;17138
14,1;Cañazas;43994;8;0;0;0;17138
1,9;Cañazas;43995;9;31;0;32;17138
1,9;Cañazas;43996;10;8;0;0;17138
1,9;Cañazas;43997;11;3;0;1;17138
1,9;Cañazas;43998;12;10;0;0;17138
2;Cañazas;43999;13;0;0;0;17138
1,9;Cañazas;44000;14;16;0;0;17138
1,7;Cañazas;44001;15;10;0;19;17138
1,7;Cañazas;44002;16;15;0;0;17138
NA;Capira;43988;2;0;0;0;44658
0;Capira;43989;3;0;0;0;44658
0;Capira;43990;4;0;0;0;44658
3;Capira;43991;5;14;0;7;44658
3;Capira;43992;6;0;0;0;44658
2,7;Capira;43993;7;16;0;10;44658
2,7;Capira;43994;8;0;0;0;44658
1,3;Capira;43995;9;15;0;46;44658
1,3;Capira;43996;10;2;0;0;44658
1,3;Capira;43997;11;11;0;0;44658
1,3;Capira;43998;12;1;0;0;44658
1,3;Capira;43999;13;0;0;0;44658
1,3;Capira;44000;14;9;0;1;44658
1,3;Capira;44001;15;2;0;5;44658
1,3;Capira;44002;16;9;1;2;44658
NA;Cémaco;43988;2;0;0;0;9411
0;Cémaco;43989;3;0;0;0;9411
0;Cémaco;43990;4;0;0;0;9411
2;Cémaco;43991;5;27;1;29;9411
2;Cémaco;43992;6;0;0;0;9411
2;Cémaco;43993;7;17;0;8;9411
2;Cémaco;43994;8;0;0;0;9411
1,4;Cémaco;43995;9;19;0;65;9411
1,4;Cémaco;43996;10;2;0;0;9411
1,3;Cémaco;43997;11;14;0;0;9411
1,3;Cémaco;43998;12;5;0;0;9411
1,3;Cémaco;43999;13;0;0;0;9411
1,3;Cémaco;44000;14;12;0;0;9411
1,3;Cémaco;44001;15;5;0;14;9411
1,3;Cémaco;44002;16;8;0;0;9411
NA;Chagres;43988;2;0;0;0;11172
0;Chagres;43989;3;0;0;0;11172
0;Chagres;43990;4;0;0;0;11172
7;Chagres;43991;5;41;1;7;11172
7;Chagres;43992;6;0;0;0;11172
7,6;Chagres;43993;7;35;1;3;11172
7,7;Chagres;43994;8;0;0;0;11172
1,7;Chagres;43995;9;30;0;41;11172
1,7;Chagres;43996;10;14;0;0;11172
1,6;Chagres;43997;11;15;0;1;11172
1,6;Chagres;43998;12;11;0;0;11172
1,7;Chagres;43999;13;0;0;0;11172
1,6;Chagres;44000;14;21;1;0;11172
1,6;Chagres;44001;15;19;1;11;11172
1,6;Chagres;44002;16;22;0;0;11172
NA;Chame;43988;2;0;0;0;29811
0;Chame;43989;3;0;0;0;29811
0;Chame;43990;4;0;0;0;29811
-2;Chame;43991;5;8;0;0;29811
-1,6;Chame;43992;6;0;0;0;29811
-1,3;Chame;43993;7;2;0;0;29811
-1,1;Chame;43994;8;0;0;0;29811
1,1;Chame;43995;9;2;0;4;29811
1,2;Chame;43996;10;2;0;1;29811
1,2;Chame;43997;11;0;0;0;29811
1;Chame;43998;12;9;0;0;29811
1;Chame;43999;13;0;0;0;29811
1;Chame;44000;14;2;0;0;29811
1;Chame;44001;15;2;0;1;29811
1,1;Chame;44002;16;0;0;0;29811
NA;Changuinola;43988;2;0;0;0;102334
0;Changuinola;43989;3;0;0;0;102334
0;Changuinola;43990;4;0;0;0;102334
5,7;Changuinola;43991;5;51;1;11;102334
5,7;Changuinola;43992;6;0;0;0;102334
5,1;Changuinola;43993;7;38;1;11;102334
5,1;Changuinola;43994;8;0;0;0;102334
2;Changuinola;43995;9;31;0;40;102334
2;Changuinola;43996;10;26;1;11;102334
1,9;Changuinola;43997;11;13;1;0;102334
1,9;Changuinola;43998;12;21;0;0;102334
1,9;Changuinola;43999;13;0;0;0;102334
1,9;Changuinola;44000;14;28;1;0;102334
1,9;Changuinola;44001;15;25;0;16;102334
1,7;Changuinola;44002;16;11;0;'-20;102334
NA;Chepigana;43988;2;0;0;0;15620
0;Chepigana;43989;3;0;0;0;15620
0;Chepigana;43990;4;0;0;0;15620
-0,3;Chepigana;43991;5;0;1;0;15620
-0,2;Chepigana;43992;6;0;0;0;15620
1,2;Chepigana;43993;7;1;0;5;15620
1,2;Chepigana;43994;8;0;0;0;15620
1,2;Chepigana;43995;9;0;0;0;15620
1,2;Chepigana;43996;10;0;0;0;15620
1,2;Chepigana;43997;11;0;0;0;15620
1,2;Chepigana;43998;12;0;0;0;15620
1,2;Chepigana;43999;13;0;0;0;15620
1,2;Chepigana;44000;14;1;0;0;15620
1,2;Chepigana;44001;15;0;0;0;15620
1,2;Chepigana;44002;16;0;0;0;15620
NA;Chepo;43988;2;0;0;0;56068
0;Chepo;43989;3;0;0;0;56068
0;Chepo;43990;4;0;0;0;56068
0;Chepo;43991;5;0;0;0;56068
0;Chepo;43992;6;0;0;0;56068
0;Chepo;43993;7;0;0;0;56068
0;Chepo;43994;8;0;0;0;56068
0;Chepo;43995;9;0;0;0;56068
0;Chepo;43996;10;0;0;0;56068
0;Chepo;43997;11;0;0;0;56068
0;Chepo;43998;12;0;0;0;56068
0;Chepo;43999;13;0;0;0;56068
0;Chepo;44000;14;0;0;0;56068
-0,1;Chepo;44001;15;2;0;0;56068
-0,1;Chepo;44002;16;0;0;0;56068
NA;Chimán;43988;2;0;0;0;3290
0;Chimán;43989;3;0;0;0;3290
0;Chimán;43990;4;0;0;0;3290
3,8;Chimán;43991;5;17;0;6;3290
3,8;Chimán;43992;6;0;0;0;3290
4;Chimán;43993;7;11;0;3;3290
4;Chimán;43994;8;0;0;0;3290
1,8;Chimán;43995;9;8;1;15;3290
1,8;Chimán;43996;10;4;0;0;3290
1,7;Chimán;43997;11;7;0;0;3290
1,7;Chimán;43998;12;3;0;0;3290
1,8;Chimán;43999;13;0;0;0;3290
1,7;Chimán;44000;14;7;0;0;3290
1,7;Chimán;44001;15;4;0;3;3290
1,7;Chimán;44002;16;7;0;0;3290
NA;Chiriquí Grande;43988;2;0;0;0;14565
0;Chiriquí Grande;43989;3;0;0;0;14565
0;Chiriquí Grande;43990;4;0;0;0;14565
0;Chiriquí Grande;43991;5;0;0;0;14565
0;Chiriquí Grande;43992;6;0;0;0;14565
0;Chiriquí Grande;43993;7;0;0;0;14565
0;Chiriquí Grande;43994;8;0;0;0;14565
0;Chiriquí Grande;43995;9;0;0;0;14565
0;Chiriquí Grande;43996;10;0;0;0;14565
0;Chiriquí Grande;43997;11;0;0;0;14565
0;Chiriquí Grande;43998;12;0;0;0;14565
0;Chiriquí Grande;43999;13;0;0;0;14565
0;Chiriquí Grande;44000;14;0;0;0;14565
0;Chiriquí Grande;44001;15;0;0;0;14565
0;Chiriquí Grande;44002;16;0;0;0;14565
NA;Chitré;43988;2;0;0;0;53394
0;Chitré;43989;3;0;0;0;53394
0;Chitré;43990;4;0;0;0;53394
0;Chitré;43991;5;0;0;0;53394
0;Chitré;43992;6;0;0;0;53394
0;Chitré;43993;7;0;0;0;53394
0;Chitré;43994;8;0;0;0;53394
0;Chitré;43995;9;0;0;0;53394
-0,1;Chitré;43996;10;1;0;0;53394
-0,1;Chitré;43997;11;1;0;0;53394
-0,1;Chitré;43998;12;0;0;0;53394
-0,1;Chitré;43999;13;0;0;0;53394
-0,2;Chitré;44000;14;2;0;0;53394
-0,2;Chitré;44001;15;0;0;0;53394
-0,2;Chitré;44002;16;0;0;0;53394
NA;Colón;43988;2;0;0;0;242977
0;Colón;43989;3;0;0;0;242977
0;Colón;43990;4;0;0;0;242977
5;Colón;43991;5;'-3;1;1;242977
5;Colón;43992;6;0;0;0;242977
4,1;Colón;43993;7;6;0;2;242977
4,2;Colón;43994;8;0;0;0;242977
1,8;Colón;43995;9;11;0;14;242977
1,6;Colón;43996;10;16;0;0;242977
1,6;Colón;43997;11;3;0;'-1;242977
1,6;Colón;43998;12;2;0;0;242977
1,6;Colón;43999;13;0;0;0;242977
1,8;Colón;44000;14;15;1;4;242977
1,8;Colón;44001;15;13;0;3;242977
1,8;Colón;44002;16;5;1;'-1;242977
NA;Comarca Kuna Yala;43988;2;0;0;0;40451
0;Comarca Kuna Yala;43989;3;0;0;0;40451
0;Comarca Kuna Yala;43990;4;0;0;0;40451
2,4;Comarca Kuna Yala;43991;5;14;1;11;40451
2,4;Comarca Kuna Yala;43992;6;0;0;0;40451
2,5;Comarca Kuna Yala;43993;7;12;0;5;40451
2,5;Comarca Kuna Yala;43994;8;0;0;0;40451
1,4;Comarca Kuna Yala;43995;9;16;0;41;40451
1,4;Comarca Kuna Yala;43996;10;6;1;0;40451
1,3;Comarca Kuna Yala;43997;11;13;1;0;40451
1,3;Comarca Kuna Yala;43998;12;11;0;1;40451
1,3;Comarca Kuna Yala;43999;13;0;0;0;40451
1,3;Comarca Kuna Yala;44000;14;17;0;0;40451
1,3;Comarca Kuna Yala;44001;15;16;0;6;40451
1,3;Comarca Kuna Yala;44002;16;13;0;0;40451
NA;David;43988;2;0;0;0;161845
0;David;43989;3;0;0;0;161845
0;David;43990;4;0;0;0;161845
-0,5;David;43991;5;2;0;0;161845
-0,4;David;43992;6;0;0;0;161845
5,6;David;43993;7;5;0;1;161845
5,7;David;43994;8;0;0;0;161845
5;David;43995;9;5;0;0;161845
5,1;David;43996;10;0;0;0;161845
5,2;David;43997;11;0;0;0;161845
5,2;David;43998;12;1;0;0;161845
5,3;David;43999;13;0;0;0;161845
5;David;44000;14;4;0;0;161845
5,1;David;44001;15;0;0;0;161845
3,6;David;44002;16;1;1;1;161845
NA;Dolega;43988;2;0;0;0;26105
0;Dolega;43989;3;0;0;0;26105
0;Dolega;43990;4;0;0;0;26105
2,3;Dolega;43991;5;4;0;3;26105
2,3;Dolega;43992;6;0;0;0;26105
0,4;Dolega;43993;7;29;0;0;26105
0,7;Dolega;43994;8;0;0;0;26105
0;Dolega;43995;9;21;0;0;26105
-0,9;Dolega;43996;10;27;0;0;26105
-0,6;Dolega;43997;11;3;0;0;26105
-0,5;Dolega;43998;12;5;0;0;26105
-0,2;Dolega;43999;13;0;0;0;26105
-0,9;Dolega;44000;14;30;1;0;26105
-0,7;Dolega;44001;15;1;1;0;26105
-0,5;Dolega;44002;16;3;0;0;26105
NA;Donoso;43988;2;0;0;0;11998
0;Donoso;43989;3;0;0;0;11998
0;Donoso;43990;4;0;0;0;11998
1,3;Donoso;43991;5;2;0;7;11998
1,3;Donoso;43992;6;0;0;0;11998
1,3;Donoso;43993;7;1;0;0;11998
1,3;Donoso;43994;8;0;0;0;11998
1,3;Donoso;43995;9;0;0;0;11998
1,3;Donoso;43996;10;0;0;0;11998
1,3;Donoso;43997;11;0;0;0;11998
1,3;Donoso;43998;12;0;0;0;11998
1,3;Donoso;43999;13;0;0;0;11998
1,3;Donoso;44000;14;1;0;0;11998
1,3;Donoso;44001;15;0;0;0;11998
1,3;Donoso;44002;16;0;0;0;11998
NA;Gualaca;43988;2;0;0;0;10135
0;Gualaca;43989;3;0;0;0;10135
0;Gualaca;43990;4;0;0;0;10135
0;Gualaca;43991;5;0;0;0;10135
0;Gualaca;43992;6;0;0;0;10135
0;Gualaca;43993;7;0;0;0;10135
0;Gualaca;43994;8;0;0;0;10135
0;Gualaca;43995;9;0;0;0;10135
0;Gualaca;43996;10;0;0;0;10135
0;Gualaca;43997;11;0;0;0;10135
0;Gualaca;43998;12;0;0;0;10135
0;Gualaca;43999;13;0;0;0;10135
1,1;Gualaca;44000;14;1;0;12;10135
1,1;Gualaca;44001;15;0;0;0;10135
1,1;Gualaca;44002;16;0;0;0;10135
NA;Guararé;43988;2;0;0;0;10625
0;Guararé;43989;3;0;0;0;10625
0;Guararé;43990;4;0;0;0;10625
2,6;Guararé;43991;5;18;0;11;10625
2,6;Guararé;43992;6;0;0;0;10625
2,8;Guararé;43993;7;19;0;4;10625
2,9;Guararé;43994;8;0;0;0;10625
1,7;Guararé;43995;9;21;0;31;10625
1,7;Guararé;43996;10;7;0;0;10625
1,7;Guararé;43997;11;8;0;0;10625
1,6;Guararé;43998;12;9;0;0;10625
1,7;Guararé;43999;13;0;0;0;10625
1,6;Guararé;44000;14;17;0;0;10625
1,6;Guararé;44001;15;2;0;0;10625
1,7;Guararé;44002;16;29;0;7;10625
NA;Jirondai;43988;2;0;0;0;22834
0;Jirondai;43989;3;0;0;0;22834
0;Jirondai;43990;4;0;0;0;22834
-0,3;Jirondai;43991;5;1;0;0;22834
-0,2;Jirondai;43992;6;0;0;0;22834
1,5;Jirondai;43993;7;2;0;4;22834
1,5;Jirondai;43994;8;0;0;0;22834
1,1;Jirondai;43995;9;2;0;17;22834
1,1;Jirondai;43996;10;1;0;0;22834
1,1;Jirondai;43997;11;1;0;0;22834
1,1;Jirondai;43998;12;1;0;0;22834
1,1;Jirondai;43999;13;0;0;0;22834
1,1;Jirondai;44000;14;3;0;0;22834
1,1;Jirondai;44001;15;1;0;0;22834
1,1;Jirondai;44002;16;0;0;0;22834
NA;Kankintú;43988;2;0;0;0;23035
0;Kankintú;43989;3;0;0;0;23035
0;Kankintú;43990;4;0;0;0;23035
7;Kankintú;43991;5;6;0;1;23035
7;Kankintú;43992;6;0;0;0;23035
6;Kankintú;43993;7;4;0;1;23035
6;Kankintú;43994;8;0;0;0;23035
1,6;Kankintú;43995;9;8;0;12;23035
1,6;Kankintú;43996;10;4;0;0;23035
1,6;Kankintú;43997;11;1;0;0;23035
1,6;Kankintú;43998;12;0;0;0;23035
1,6;Kankintú;43999;13;0;0;0;23035
1,6;Kankintú;44000;14;4;0;0;23035
1,6;Kankintú;44001;15;1;0;2;23035
1,5;Kankintú;44002;16;5;0;0;23035
NA;Kusapín;43988;2;0;0;0;20315
0;Kusapín;43989;3;0;0;0;20315
0;Kusapín;43990;4;0;0;0;20315
4;Kusapín;43991;5;15;0;5;20315
4;Kusapín;43992;6;0;0;0;20315
2,9;Kusapín;43993;7;7;0;6;20315
2,9;Kusapín;43994;8;0;0;0;20315
1,3;Kusapín;43995;9;10;0;30;20315
1,3;Kusapín;43996;10;6;0;0;20315
1,3;Kusapín;43997;11;7;1;1;20315
1,3;Kusapín;43998;12;3;0;0;20315
1,3;Kusapín;43999;13;0;0;0;20315
1,3;Kusapín;44000;14;24;0;1;20315
1,3;Kusapín;44001;15;13;0;7;20315
1,2;Kusapín;44002;16;16;1;0;20315
NA;La Chorrera;43988;2;0;0;0;193709
0;La Chorrera;43989;3;0;0;0;193709
0;La Chorrera;43990;4;0;0;0;193709
3,8;La Chorrera;43991;5;81;1;29;193709
3,8;La Chorrera;43992;6;0;0;0;193709
4,1;La Chorrera;43993;7;74;0;12;193709
4,2;La Chorrera;43994;8;0;0;0;193709
1,7;La Chorrera;43995;9;54;0;90;193709
1,7;La Chorrera;43996;10;17;0;0;193709
1,6;La Chorrera;43997;11;33;0;2;193709
1,6;La Chorrera;43998;12;19;0;0;193709
1,7;La Chorrera;43999;13;0;0;0;193709
1,7;La Chorrera;44000;14;63;0;22;193709
1,7;La Chorrera;44001;15;57;1;9;193709
1,6;La Chorrera;44002;16;70;0;2;193709
NA;La Mesa;43988;2;0;0;0;11452
0;La Mesa;43989;3;0;0;0;11452
0;La Mesa;43990;4;0;0;0;11452
0;La Mesa;43991;5;0;0;0;11452
0;La Mesa;43992;6;0;0;0;11452
0;La Mesa;43993;7;0;0;0;11452
0;La Mesa;43994;8;0;0;0;11452
0;La Mesa;43995;9;0;0;0;11452
0;La Mesa;43996;10;0;0;0;11452
0;La Mesa;43997;11;0;0;0;11452
0;La Mesa;43998;12;0;0;0;11452
0;La Mesa;43999;13;0;0;0;11452
-0,1;La Mesa;44000;14;1;0;0;11452
-0,1;La Mesa;44001;15;0;0;0;11452
-0,1;La Mesa;44002;16;0;0;0;11452
NA;La Pintada;43988;2;0;0;0;27840
0;La Pintada;43989;3;0;0;0;27840
0;La Pintada;43990;4;0;0;0;27840
-4,3;La Pintada;43991;5;17;0;0;27840
-3,4;La Pintada;43992;6;0;0;0;27840
4,8;La Pintada;43993;7;11;0;2;27840
5,1;La Pintada;43994;8;0;0;0;27840
1,2;La Pintada;43995;9;9;1;33;27840
1,2;La Pintada;43996;10;10;0;0;27840
1,2;La Pintada;43997;11;5;0;0;27840
1,1;La Pintada;43998;12;17;0;0;27840
1,2;La Pintada;43999;13;0;0;0;27840
1,1;La Pintada;44000;14;14;0;0;27840
1,1;La Pintada;44001;15;6;0;4;27840
1,1;La Pintada;44002;16;4;0;3;27840
NA;Las Minas;43988;2;0;0;0;7314
0;Las Minas;43989;3;0;0;0;7314
0;Las Minas;43990;4;0;0;0;7314
9,4;Las Minas;43991;5;24;1;3;7314
9,4;Las Minas;43992;6;0;0;0;7314
8,6;Las Minas;43993;7;12;0;0;7314
8,7;Las Minas;43994;8;0;0;0;7314
8,8;Las Minas;43995;9;0;0;0;7314
8,9;Las Minas;43996;10;0;0;0;7314
8,9;Las Minas;43997;11;0;0;0;7314
8,6;Las Minas;43998;12;11;0;0;7314
8,7;Las Minas;43999;13;0;0;0;7314
8,7;Las Minas;44000;14;1;0;0;7314
8,7;Las Minas;44001;15;0;0;0;7314
8,6;Las Minas;44002;16;7;0;0;7314
NA;Las Palmas;43988;2;0;0;0;17568
0;Las Palmas;43989;3;0;0;0;17568
0;Las Palmas;43990;4;0;0;0;17568
2,9;Las Palmas;43991;5;54;0;29;17568
2,9;Las Palmas;43992;6;0;0;0;17568
3;Las Palmas;43993;7;48;0;20;17568
3;Las Palmas;43994;8;0;0;0;17568
1,8;Las Palmas;43995;9;42;0;70;17568
1,7;Las Palmas;43996;10;41;0;0;17568
1,6;Las Palmas;43997;11;40;1;'-1;17568
1,3;Las Palmas;43998;12;7;2;60;17568
1,4;Las Palmas;43999;13;0;0;0;17568
1,4;Las Palmas;44000;14;47;0;'-60;17568
1,4;Las Palmas;44001;15;22;0;10;17568
